,FCLTY_NM,INDUTY_NM,ROAD_NM_SIGNGU_NM,FCLTY_LA,FCLTY_LO
14956,배드민턴체육관,체육관,제천시,37.1457683481,128.2003614184
14957,배방스포츠센터,체육관,아산시,36.7698319190283,127.07494047486
14958,배수펌프장공원,간이운동장,김천시,36.1296589283652,128.12281107748038
14959,배춘게이트볼장,전천후게이트볼장,사천시,35.1103761059136,128.091125910567
14960,백곡게이트볼장,간이운동장,의령군,35.351174,128.362046
14962,백령게이트볼장,전천후게이트볼장,옹진군,37.939196607038,124.699659038015
14963,백산게이트볼장,간이운동장,합천군,35.4939616449,128.2197565617
14964,백산게이트볼장,전천후게이트볼장,부안군,35.7099129217,126.7899236197
14966,백석배드민턴장,체육관,고양시,37.6455402931,126.794881979
14967,백설어린이공원,간이운동장,수원시 장안구,37.295135,126.991117
14968,백송어린이공원,간이운동장,목포시,34.802221,126.426877
14969,백송어린이공원,간이운동장,부천시,37.4977325406,126.7475601468
14971,백암정운동시설,간이운동장,의령군,35.3211581345893,128.243084308619
14972,백양생활체육관,체육관,북구,35.2061597138,129.0355637125
14974,백진공원야구장,야구장,담양군,35.31625549195927,126.96280882263925
14975,백합어린이공원,간이운동장,노원구,37.646635,127.069764
14976,뱃머리테니스장,테니스장,포항시,36.00492474526515,129.35350402387866
14977,버드나무약수터,간이운동장,종로구,37.5826225401,126.964835582
14978,버드네조폐공원,간이운동장,중구,36.317081,127.386742
14979,버들어린이공원,간이운동장,북구,35.172466,126.883811
14980,번동게이트볼장,전천후게이트볼장,함평군,35.0109017959,126.5173387173
14981,번암게이트볼장,전천후게이트볼장,장수군,35.5300948736,127.5435830607
14982,번암봉화체육관,체육관,장수군,35.5343312384,127.5482956167
14983,번암어린이공원,간이운동장,용인시 처인구,37.2390170801,127.1856865632
14984,벌교스포츠센터,기타시설,보성군,34.8396800793,127.361729741
14985,벌말어린이공원,간이운동장,부천시,37.4730013242,126.8022096938
14986,벌터어린이공원,간이운동장,용인시 처인구,37.2342351802,127.1897001672
14987,범서게이트볼장,전천후게이트볼장,울주군,35.5611976738,129.22573431
14989,법천리운동기구,간이운동장,원주시,37.2131061464,127.7650454109
14990,법환게이트볼장,간이운동장,서귀포시,33.240422,126.507534
14991,벽제게이트볼장,간이운동장,고양시 덕양구,37.7155415614,126.8998669131
14992,변산게이트볼장,전천후게이트볼장,부안군,35.658396883,126.5335945155
14993,별내면테니스장,간이운동장,남양주시,37.697643,127.127982
14994,별내배드민턴장,간이운동장,남양주시,37.6600957080395,127.123424788992
14995,별메어린이공원,간이운동장,달서구,35.805627997,128.53390513
14996,별빛어린이공원,간이운동장,용인시 수지구,37.320564,127.087853
14997,별학어린이공원,간이운동장,용인시,37.2318991262176,127.2009563317122
14998,병영게이트볼장,전천후게이트볼장,강진군,34.7169152909,126.8127367003
15000,보개게이트볼장,전천후게이트볼장,안성시,37.02299870711568,127.29063787350788
15001,보라매축구공원,축구장,광산구,35.13992779644909,126.82344945408828
15002,보람어린이공원,간이운동장,부천시,37.4975593921,126.7595794743
15003,보람어린이공원,간이운동장,남구,37.453986,126.637172
15004,보령게이트볼장,전천후게이트볼장,보령시,36.3132475307,126.6039328472
15005,보령요트경기장,요트장,보령시,36.2669584924,126.5478388343
15006,보령종합경기장,육상경기장,보령시,36.3143595218,126.6055485104
15007,보령종합체육관,체육관,보령시,36.3150063388,126.6038437761
15008,보목게이트볼장,간이운동장,서귀포시,33.2433357453,126.5914166319
