CLUB_NM,CTPRVN_NM,SIGNGU_NM,ITEM_NM,AFLTION_GROUP_NM,ITEM_CL_NM,SEXDSTN_FLAG_NM,Latitude,Longitude
광양시소프트테니스협회,전라남도,전라남도 광양시      ,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,34.9406452,127.6959512
광양어울림클럽,전라남도,전라남도 광양시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양와이클럽,전라남도,전라남도 광양시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양용강클럽,전라남도,전라남도 광양시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양유도관,전라남도,전라남도 광양시      ,유도,체육동호인조직,"13세이하부,16세이하부,19세이하부,실업(일반)",혼성,34.9406452,127.6959512
광양중동클럽,전라남도,전라남도 광양시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양중마클럽,전라남도,전라남도 광양시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양클럽,전라남도,전라남도 광양시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양클럽,전라남도,전라남도 광양시      ,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,34.9406452,127.6959512
광운대학교빙상클럽,서울특별시,서울특별시       노원구,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.654,127.0567
광일검도관,제주특별자치도,제주특별자치도 제주시      ,검도,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,33.4930566,126.5130589
광주 디딤돌,광주광역시,광주광역시       광산구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1396428,126.7938232
광주 상금 소프트테니스 클럽,광주광역시,광주광역시       서구,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.1521401,126.8900561
광주 어게인 (AGAIN),광주광역시,광주광역시       동구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.1462,126.9229
광주AR,광주광역시,광주광역시       남구,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1327,126.9025
광주거점스포츠클럽,광주광역시,광주광역시       서구,태권도,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1521401,126.8900561
광주광산구FCJW,광주광역시,광주광역시      ,축구,체육동호인조직,실업(일반),혼성,35.1594647,126.8515034
